Frame	ROG of Dendrons [N0]
1	0.9860121416531245
2	1.007992784451726
3	1.0085240554749968
4	1.002705931245254
5	1.0043008551371004
6	1.0022687704918942
7	0.9985986045005483
8	0.989095362285368
9	1.0103501003493771
10	0.9988361432933897
11	1.018888268958583
12	1.0105709774166223
13	0.9848742539637119
14	0.9959119196826893
15	0.9923473720618928
16	0.9919285265629897
17	1.010841330233986
18	0.9958211491745167
19	1.0024179849966486
20	1.0082240793541182
21	1.0182986909482714
22	0.997817485267782
23	1.0037050741419835
24	1.1961686307045072
25	1.0007445580047054
26	1.0167297375979651
27	1.005963261514833
28	0.9985896444316149
29	0.990831008185351
30	0.9897026657259536
31	0.9891938144475189
32	1.0248438616193707
33	1.015272635879098
34	1.0187556437862895
35	1.0252714894797008
36	1.016746148523062
37	1.000752231875117
38	0.9963219796307275
39	0.9985538782008517
40	0.998140023868205
41	1.009725617392609
42	0.9962264416694874
43	1.0161855615305786
44	1.0141869920427253
45	0.9940314168888048
46	1.0034161547172138
47	1.00647629466481
48	1.000108054957906
49	0.9996590974842328
50	1.0035455533267665
51	1.004112698881652
52	1.0112595241981894
53	1.010794567712303
54	0.9981144237699006
55	1.0043244734607835
56	0.9900823658599932
57	1.0153301248055424
58	1.016701712013669
59	0.9965101215174172
60	0.9835556361600687
61	0.9967418085215947
62	1.0083224960345853
63	1.0238018503804713
64	1.020597810272449
65	1.0131399636778655
66	1.013318689342371
67	1.0020626482044002
68	1.0139158718641301
69	1.009649809841626
70	0.9892489427827124
71	0.9961483543627095
72	1.0094045404588796
73	1.0119434507015965
74	1.0101712619129752
75	1.004775367242986
76	0.9950452080442473
77	1.0065259266214708
78	1.0098799422782714
79	0.9857250648845544
80	0.9917533586770044
81	0.9861461355800661
82	1.0140645653560232
83	1.0038446284003544
84	1.2016541482202312
85	0.9876268547824605
86	0.9950020635793582
87	1.001642825366503
88	1.0108312096348024
89	1.1963784347765312
90	1.0082165242950119
91	1.0200173255382692
92	0.9851178530109057
93	0.9911416138626344
94	1.2624226283872122
95	1.0145632140382514
96	0.9942449243908673
97	1.0155599636082795
98	1.0104238276640114
99	1.0231299193183017
100	1.0173799886721846
101	1.0155796220847575
