Frame	DPPC (polar heads)-DEN (All head beads)
1	0.5497142857142857
2	0.537407195888064
3	0.5513405590416429
4	0.5364257256687536
5	0.530664395229983
6	0.5295119182746879
7	0.5149802148106275
8	0.5183823529411765
9	0.5176036342986939
10	0.5210466439135382
11	0.5293949771689498
12	0.5099544937428896
13	0.5319270239452679
14	0.5311428571428571
15	0.5185608223872074
16	0.5185290763968073
17	0.5151428571428571
18	0.5134362492853058
19	0.5228702115494568
20	0.5214653692043503
21	0.5400228702115495
22	0.5394060536836094
23	0.5496009122006842
24	0.5494318181818182
25	0.5653912050256996
26	0.5341880341880342
27	0.5414049114791548
28	0.5174684994272624
29	0.533256880733945
30	0.5470723306544202
31	0.556350114416476
32	0.5661133371493989
33	0.5617106773823192
34	0.5824238943136129
35	0.5526164462334675
36	0.5379310344827586
37	0.5534790109258194
38	0.5526770293609672
39	0.5556837853433353
40	0.5362485615650172
41	0.5466321243523317
42	0.5480161012075906
43	0.5325836216839677
44	0.5466589861751152
45	0.5381526104417671
46	0.5348770726129217
47	0.5266628440366973
48	0.558012636415853
49	0.5520414031052329
50	0.5420991926182238
51	0.5242214532871973
52	0.5437535981577433
53	0.5151949541284404
54	0.5504032258064516
55	0.5507789959607616
56	0.5196531791907515
57	0.5369515011547344
58	0.5506658946149392
59	0.5442964678633468
60	0.5445086705202312
61	0.5586705202312139
62	0.5458742065781881
63	0.566935949221004
64	0.5525707683419988
65	0.546189376443418
66	0.5388377445339471
67	0.5371329879101899
68	0.549081515499426
69	0.5626788780767029
70	0.5476190476190477
71	0.5459242250287026
72	0.5542791499138426
73	0.5586206896551724
74	0.5265129682997118
75	0.5418591224018475
76	0.5380622837370242
77	0.5370476737507179
78	0.5561604584527221
79	0.5563178959405375
80	0.5422374429223744
81	0.5262407301768397
82	0.5434659090909091
83	0.5493757094211124
84	0.5261066969353008
85	0.5278567367822626
86	0.5150226757369615
87	0.5311438278595696
88	0.5419739081111742
89	0.5344632768361582
90	0.5265686828716789
91	0.5237691001697793
92	0.5298126064735945
93	0.5383087400681045
94	0.5353306953080836
95	0.546485260770975
96	0.5291950113378685
97	0.5406779661016949
98	0.5412429378531074
99	0.5287810383747178
100	0.5297281993204983
101	0.5380034032898469
