Frame	ROG of Dendrons [TA]
1	1.5752222729501417
2	1.5715803409235096
3	1.5967604520358714
4	1.5943623180722213
5	1.6011201505912154
6	1.5736553506732838
7	2.0889600891364455
8	1.5841847337172879
9	1.5994336457746443
10	1.5981433595462504
11	1.618436565058134
12	1.6020554637558662
13	1.5953225380966463
14	1.6026075216449054
15	1.6090330672306958
16	1.5826585224017413
17	1.5932654139706324
18	1.571379519986412
19	1.5981498743708493
20	1.5974871060752214
21	1.6295804438900048
22	1.5971693809282588
23	1.6079704623441253
24	1.8554460533173913
25	1.6068891338883835
26	1.6093333097229239
27	1.6069492881644227
28	1.6089109206914023
29	1.5799567474697798
30	1.5762166754694324
31	1.5681435251574676
32	1.60936691791471
33	1.6137418456295178
34	1.6174403569853835
35	1.6303745069739328
36	1.613654363736216
37	1.5931876608462245
38	1.5817246608473445
39	1.5840153111871746
40	1.580511114437324
41	1.61177900102285
42	1.6033484775096867
43	1.613461558182485
44	1.5989970568468026
45	1.6131039592491359
46	1.6064428550202814
47	1.60132181455264
48	1.60411553587347
49	1.5906252097514602
50	1.6008403619953768
51	1.6004563837746917
52	1.6006774119702911
53	1.611794735520398
54	1.590635781351474
55	1.6024514301781112
56	1.5699731905828307
57	1.608955363138914
58	1.5997291236918236
59	1.5945772571640495
60	1.5696335652143525
61	1.5887691362688428
62	1.6008415513170595
63	1.6352135576487554
64	1.610250092919857
65	1.621769079955037
66	1.5932935362036034
67	1.5976641293616107
68	1.6149817524194596
69	1.5992673066507463
70	1.5695824913371061
71	1.5969423081601968
72	1.6068247380032779
73	1.6135613399227582
74	1.6171880622636814
75	1.6251404375323892
76	1.5946574979694177
77	1.5977193493501536
78	1.6111851485331135
79	1.5954200060477468
80	1.6013102278881914
81	1.738181830363453
82	1.641015560980781
83	1.7725477238531555
84	1.8410180137317331
85	1.589769480439708
86	1.591490203070006
87	1.59216892810942
88	1.6253147655924745
89	1.8537253814909997
90	1.5943893781400609
91	1.6266540990672704
92	1.580396058484376
93	1.5440539900696775
94	1.8146860466878096
95	1.8323636347662373
96	1.5851096954483443
97	1.6153473521273838
98	1.5894560064475345
99	1.628359992534442
100	1.6149673941812193
101	1.6211785173027566
