Frame	Rad[PO4-COM]
1	10.89982769679211
2	10.906434370133358
3	10.91909001334136
4	10.931095448432849
5	10.959434901832648
6	10.961289749649413
7	10.973270409407395
8	10.972035387936504
9	10.956307998084757
10	10.94198621892426
11	10.927014046660249
12	10.94517310728966
13	10.939398341620539
14	10.913704956241942
15	10.917493430909209
16	10.922871044753192
17	10.921009101710244
18	10.917229577001008
19	10.919906682621216
20	10.910245391463882
21	10.920932693317157
22	10.924160153501568
23	10.93497310138883
24	10.964384256157269
25	10.925090390237742
26	10.944589418539842
27	10.92278157720556
28	10.909478010542411
29	10.905897709968254
30	10.883380944027452
31	10.919808164890366
32	10.92305382525909
33	10.900785244365238
34	10.88303806998513
35	10.881066442320607
36	10.880520422735065
37	10.870132010109476
38	10.865346408556793
39	10.849338487464218
40	10.881829471350803
41	10.869843863852093
42	10.884155203707744
43	10.86649559364989
44	10.873562298825993
45	10.89394232549207
46	10.929485670502412
47	10.90498341949864
48	10.898717385546535
49	10.881180965286754
50	10.856523084377104
51	10.864056399463228
52	10.875620899586657
53	10.901521615042984
54	10.866858124902794
55	10.851123506228586
56	10.835280705439459
57	10.845725112327168
58	10.824406836046633
59	10.826624871607539
60	10.83746564325036
61	10.832726070298623
62	10.848532181161046
63	10.848381006338556
64	10.851221747558863
65	10.850403248815379
66	10.872975865951302
67	10.869662087138671
68	10.884697903642687
69	10.916494287059034
70	10.89241610694376
71	10.893225511630625
72	10.894706196618984
73	10.88857142257345
74	10.86570828714795
75	10.844540124027892
76	10.86362626090769
77	10.870682151860397
78	10.89851498038988
79	10.91744846056195
80	10.93430696996507
81	10.92652591975862
82	10.960201629715613
83	10.970731154683316
84	10.953152919028652
85	10.952893170683543
86	10.97513007565609
87	10.96806985961834
88	10.960736019392852
89	10.981617555895529
90	10.978721141417786
91	10.965519975824579
92	10.96325119611717
93	10.949542124858768
94	10.988099646649738
95	10.972172323493998
96	10.971186198005222
97	10.992634229874103
98	11.001365952497089
99	10.998489859278322
100	10.98137637086559
101	10.965956159510297
