Frame	Thickness of Dendron Layer
1	1.3023121336987735
2	1.3079737710452957
3	1.3327948012297064
4	1.313143564163438
5	1.3553828900668439
6	1.4162988527656655
7	1.6146000380975707
8	1.349185402097108
9	1.2746148089866534
10	1.3253970805102604
11	1.3032404136687923
12	1.3900419689429082
13	1.296757559913905
14	1.3738593545858908
15	1.3488392582214193
16	1.4124605830726757
17	1.4135244480695732
18	1.4460732942923968
19	1.3731631189052198
20	1.4146786188517204
21	1.3575760900179858
22	1.3252292907377914
23	1.3187515627970114
24	1.3779644094728845
25	1.2899234096311787
26	1.3101640870077098
27	1.3817306086423908
28	1.4186423702635604
29	1.4533432283540133
30	1.4508271796150947
31	1.3959436403977303
32	1.3689455631202954
33	1.3824821370231977
34	1.450732642092719
35	1.4605830793494263
36	1.455751814667078
37	1.4574131928914635
38	1.35869000696019
39	1.3541120733766085
40	1.27218832508904
41	1.344100443206509
42	1.3372595496926891
43	1.413266523980461
44	1.315446970240032
45	1.456818094529428
46	1.3239954460542798
47	1.3413211741823101
48	1.3053740416812474
49	1.3458577762675574
50	1.4110751821038399
51	1.3951387635395385
52	1.284452732446363
53	1.326217827475702
54	1.3160315366063706
55	1.2873650087268675
56	1.335922670906852
57	1.3086492871389712
58	1.334459923634725
59	1.322616482916155
60	1.3260412788346194
61	1.3428391051840354
62	1.3213514847143344
63	1.3122937460252988
64	1.3000933394217355
65	1.3149275765549522
66	1.3096167578991533
67	1.2784309754225927
68	1.2814161792633705
69	1.218747554493671
70	1.2490601425791859
71	1.2681166316322692
72	1.2829643055030395
73	1.2914271913060045
74	1.3588308126240563
75	1.2824245746692515
76	1.334107681065122
77	1.291498852422146
78	1.3098444132039173
79	1.2149199114113696
80	1.3569239984694228
81	1.4516700935648768
82	1.4664832868046869
83	1.3758758870658099
84	1.4289957834573617
85	1.3315670834041065
86	1.4007023967834762
87	1.401240752381117
88	1.2463998369661002
89	1.5395805663358306
90	1.3866943673037042
91	1.4960038741468686
92	1.3989839086012612
93	1.4696228192522742
94	1.5867808570476338
95	1.4941001716145816
96	1.3598479604460678
97	1.4068062004139303
98	1.3929016721284277
99	1.4275355907535197
100	1.3593978186236608
101	1.347167189643793
