Mean Radius	Outer_Ro	Outer_No	Inside_Ro	Inside_No	Expelled
   9.421	   10.422	       90	   7.383	      30	       8
   9.430	   10.402	       90	   7.437	      30	       8
   9.436	   10.430	       90	   7.401	      30	       8
   9.444	   10.451	       89	   7.460	      31	       8
   9.466	   10.527	       90	   7.409	      30	       8
   9.466	   10.574	       91	   7.401	      30	       7
   9.477	   10.689	       91	   7.486	      31	       6
   9.471	   10.497	       91	   7.382	      30	       7
   9.462	   10.478	       90	   7.411	      30	       8
   9.446	   10.416	       90	   7.411	      30	       8
   9.439	   10.431	       89	   7.430	      31	       8
   9.455	   10.519	       90	   7.416	      31	       7
   9.449	   10.409	       90	   7.400	      30	       8
   9.430	   10.485	       90	   7.355	      30	       8
   9.432	   10.486	       87	   7.551	      33	       8
   9.434	   10.538	       91	   7.445	      30	       7
   9.433	   10.515	       90	   7.367	      30	       8
   9.431	   10.470	       90	   7.395	      30	       8
   9.431	   10.463	       90	   7.426	      30	       8
   9.427	   10.502	       90	   7.350	      30	       8
   9.431	   10.463	       90	   7.436	      30	       8
   9.441	   10.444	       90	   7.358	      30	       8
   9.448	   10.492	       90	   7.381	      30	       8
   9.465	   10.572	       91	   7.361	      30	       7
   9.434	   10.460	       89	   7.414	      31	       8
   9.445	   10.444	       89	   7.429	      31	       8
   9.433	   10.561	       90	   7.347	      30	       8
   9.421	   10.525	       89	   7.416	      31	       8
   9.419	   10.481	       90	   7.332	      30	       8
   9.402	   10.511	       90	   7.368	      30	       8
   9.429	   10.517	       90	   7.396	      30	       8
   9.432	   10.502	       89	   7.434	      31	       8
   9.414	   10.474	       90	   7.363	      30	       8
   9.398	   10.557	       90	   7.401	      30	       8
   9.403	   10.523	       90	   7.446	      30	       8
   9.401	   10.497	       90	   7.358	      30	       8
   9.390	   10.504	       90	   7.417	      30	       8
   9.388	   10.426	       89	   7.430	      30	       9
   9.376	   10.369	       89	   7.395	      30	       9
   9.402	   10.353	       88	   7.382	      30	      10
   9.392	   10.410	       89	   7.438	      30	       9
   9.402	   10.415	       89	   7.422	      30	       9
   9.392	   10.448	       89	   7.450	      30	       9
   9.397	   10.350	       88	   7.424	      30	      10
   9.411	   10.539	       90	   7.361	      30	       8
   9.438	   10.461	       89	   7.374	      30	       9
   9.416	   10.424	       89	   7.377	      30	       9
   9.413	   10.416	       89	   7.362	      30	       9
   9.403	   10.443	       89	   7.297	      30	       9
   9.380	   10.458	       89	   7.329	      30	       9
   9.386	   10.456	       89	   7.361	      30	       9
   9.395	   10.327	       88	   7.398	      30	      10
   9.416	   10.369	       87	   7.438	      31	      10
   9.387	   10.334	       88	   7.322	      30	      10
   9.376	   10.325	       88	   7.372	      30	      10
   9.369	   10.321	       88	   7.376	      30	      10
   9.376	   10.323	       86	   7.467	      32	      10
   9.362	   10.340	       87	   7.447	      31	      10
   9.364	   10.322	       87	   7.480	      31	      10
   9.371	   10.332	       88	   7.466	      30	      10
   9.368	   10.326	       88	   7.445	      30	      10
   9.378	   10.321	       88	   7.410	      30	      10
   9.374	   10.356	       88	   7.386	      30	      10
   9.385	   10.379	       86	   7.535	      32	      10
   9.376	   10.355	       88	   7.396	      30	      10
   9.392	   10.325	       88	   7.390	      30	      10
   9.394	   10.324	       87	   7.418	      31	      10
   9.406	   10.365	       88	   7.408	      30	      10
   9.426	   10.288	       88	   7.367	      30	      10
   9.411	   10.319	       88	   7.366	      30	      10
   9.409	   10.339	       87	   7.473	      31	      10
   9.414	   10.350	       87	   7.428	      31	      10
   9.405	   10.332	       88	   7.370	      30	      10
   9.389	   10.334	       88	   7.329	      30	      10
   9.371	   10.304	       88	   7.402	      30	      10
   9.392	   10.299	       88	   7.389	      30	      10
   9.395	   10.330	       88	   7.316	      30	      10
   9.416	   10.317	       88	   7.412	      30	      10
   9.429	   10.305	       88	   7.363	      30	      10
   9.445	   10.471	       87	   7.493	      32	       9
   9.440	   10.533	       90	   7.389	      30	       8
   9.461	   10.656	       91	   7.379	      30	       7
   9.474	   10.491	       90	   7.349	      30	       8
   9.455	   10.521	       90	   7.446	      30	       8
   9.459	   10.467	       89	   7.375	      30	       9
   9.476	   10.531	       90	   7.387	      30	       8
   9.470	   10.542	       90	   7.360	      30	       8
   9.466	   10.391	       89	   7.395	      30	       9
   9.482	   10.633	       91	   7.361	      30	       7
   9.480	   10.540	       90	   7.348	      30	       8
   9.467	   10.656	       90	   7.428	      31	       7
   9.466	   10.508	       90	   7.394	      30	       8
   9.458	   10.616	       91	   7.393	      30	       7
   9.485	   10.647	       91	   7.412	      30	       7
   9.474	   10.637	       90	   7.468	      31	       7
   9.474	   10.519	       89	   7.484	      31	       8
   9.485	   10.609	       91	   7.382	      30	       7
   9.493	   10.581	       91	   7.365	      30	       7
   9.485	   10.627	       90	   7.440	      31	       7
   9.479	   10.491	       89	   7.470	      31	       8
   9.463	   10.528	       90	   7.403	      30	       8
