Frame	Rad[P3-COM]
1	12.115036034541228
2	12.015363514726038
3	11.943758398977685
4	11.903516001273303
5	11.934502564041644
6	12.17332226135871
7	12.143168192982246
8	12.043590491334317
9	11.9793912066125
10	11.872374568479254
11	11.95008023346332
12	11.936661123667292
13	11.950857052274072
14	11.952002664619812
15	11.934443032895622
16	11.887424996749578
17	12.01457157424563
18	11.942265158164581
19	11.913815804820882
20	11.886971990204989
21	11.864515110942518
22	11.93651888956233
23	12.004467182795912
24	12.108021589715806
25	12.10766873380871
26	12.106185436709964
27	12.10264146226838
28	12.023284583242713
29	11.990949804422156
30	11.991232288482399
31	11.895643481797668
32	12.079833441956026
33	12.109906904537409
34	12.102499428997262
35	12.14631267961364
36	12.144167795470691
37	12.160298526883043
38	12.128696456179688
39	12.198664608026505
40	12.181620192199027
41	12.175865203377843
42	11.976952623456496
43	12.116751856772757
44	12.113131678944892
45	12.190412472982484
46	12.238739131606012
47	12.224940919397463
48	12.153779833371752
49	12.214903303940963
50	12.09081497839327
51	12.115964295005371
52	12.077118163742698
53	12.00446483720667
54	12.066718043571633
55	11.955098938285932
56	11.94036245990532
57	12.075083648150624
58	11.96656960373455
59	11.953531114624557
60	11.83699636943391
61	12.016905662505625
62	12.089998616338058
63	12.044324518527755
64	12.041307295908767
65	12.035505307085657
66	12.151057550651077
67	12.094987403506549
68	12.144650051608346
69	12.053990965810065
70	12.08214332531757
71	11.934973837519896
72	12.124180910478348
73	12.030358272735022
74	11.961074440060708
75	11.839241138039414
76	11.990554377430605
77	12.016316413171364
78	12.00736421646605
79	12.11757981659274
80	12.044863358208222
81	12.049521862776562
82	12.036676669973481
83	12.010005252059688
84	12.11575897211361
85	12.116624468196093
86	12.030553648702826
87	12.031981361581991
88	12.02542016037765
89	12.097269338943441
90	12.166638805754927
91	12.184971442386253
92	12.135524975585493
93	12.080279917493744
94	12.05824357104106
95	12.082060731616851
96	12.106640129823194
97	12.185372349763853
98	12.058225676025152
99	12.014412701181026
100	12.15771230228982
101	11.991589168697098
