Frame	ROG of Dendrons [N0]
1	1.003184334241112
2	0.998729642867252
3	1.001921976672996
4	1.0392717520320294
5	1.0185912640913617
6	1.021097334560116
7	1.0024659710600559
8	1.0051595603633003
9	0.991994462182793
10	1.005403354888751
11	1.0108439873472974
12	1.0053905734542181
13	1.0004295660024651
14	0.9979285970061347
15	1.0094170113478163
16	0.98622625766847
17	0.9918127044426416
18	1.0033982815766842
19	0.9934305679409329
20	1.0108395504180272
21	0.9979020562732915
22	1.001385730688127
23	1.011972505977933
24	0.9992810059537948
25	1.0224511584911449
26	1.0229483481429396
27	1.0116015248315364
28	0.9989954773728111
29	1.0084872114408214
30	1.0184934585314314
31	1.0104188444712803
32	1.0008562622643704
33	0.9907603299854488
34	0.9942670608452067
35	1.00848180286251
36	0.9952509613998944
37	1.0143864034941947
38	1.0183108761177406
39	0.9993765473043332
40	1.0054448219071546
41	1.0117433652295318
42	1.007643143287645
43	1.0053008814065376
44	1.0127226448441808
45	1.01636503513524
46	1.009540739157703
47	1.0137232683962245
48	1.004866683410932
49	0.9962394366554856
50	1.0054272988649635
51	0.9937083843628632
52	1.0050412239610267
53	1.010955907935738
54	1.0019816320257666
55	1.003893509744583
56	0.9935739661178017
57	1.0142819506266059
58	1.0136511023383512
59	1.0071985273236221
60	1.0029020340017023
61	1.0066314350772192
62	1.0128356574117274
63	1.0045596494678377
64	0.9987613558635681
65	1.0067153267657303
66	1.0032114894753783
67	1.0186223467153763
68	1.0023524202527552
69	0.9954993616233887
70	1.0018169155273988
71	0.9946960303652996
72	1.000825131807838
73	1.014999568722303
74	1.0017379786792107
75	1.0045689950930417
76	1.0056800854064423
77	0.9963429080700135
78	1.0090266460009247
79	1.0066115883527225
80	1.0112317757815488
81	1.0061377349077931
82	1.0024550298989794
83	1.0123086720008059
84	1.0023131525336797
85	1.0132686649494158
86	1.0181935858525284
87	1.007046219197632
88	0.9898675417870734
89	1.0096782525762396
90	0.9961033447394302
91	0.9775888865521283
92	0.9957675126688404
93	1.0011817727364916
94	1.0084219910985934
95	1.0020076739410708
96	0.9998449917428064
97	0.9985224068659987
98	0.9891175674619551
99	1.0095393731238924
100	1.0061393903638851
101	0.9948487827298965
