Frame	ROG of Dendrons [P3]
1	1.1681432097078677
2	1.1631816550313236
3	1.1637849510092686
4	1.2036186967325018
5	1.1853643308831463
6	1.1821931947150872
7	1.1678207559140967
8	1.168647369784048
9	1.1589821079023979
10	1.1682620950444016
11	1.1728987150657528
12	1.1646018646250138
13	1.1620790374894046
14	1.1662237843715035
15	1.177504214583577
16	1.148606979715273
17	1.1560202315314803
18	1.1641120077516418
19	1.1538271551911055
20	1.1749226621066649
21	1.167232115891604
22	1.1668495030593378
23	1.1754930401696633
24	1.1622267161444864
25	1.1831899977264482
26	1.1840432878414882
27	1.1739603365672995
28	1.1618295286892462
29	1.1732211046546444
30	1.1844027430710415
31	1.171710692327862
32	1.1648581430409637
33	1.1527569789474672
34	1.1605999761653465
35	1.1690913377727408
36	1.15830337888581
37	1.1794806134835814
38	1.1842493464353874
39	1.1623013497431578
40	1.167206716099711
41	1.1778368564127548
42	1.1733118169185475
43	1.169783196549973
44	1.174652171065108
45	1.1778208835272892
46	1.179795632554798
47	1.1748992737339534
48	1.173010355109962
49	1.1606599786259006
50	1.1663325808392362
51	1.1583070082099305
52	1.1693802338152517
53	1.1784420892226222
54	1.162949818874133
55	1.1650661409076208
56	1.153956974779277
57	1.1824769763583758
58	1.1780046485135467
59	1.1674127580285345
60	1.1627214542110558
61	1.1651909811645031
62	1.1728086202106578
63	1.1660996901629477
64	1.1616161665174842
65	1.1707808133646898
66	1.1712072883906641
67	1.1868801203516055
68	1.1628438872005347
69	1.1582202356494153
70	1.1612115698159815
71	1.1618554928648515
72	1.1612841632565591
73	1.183387336107764
74	1.1644751601338996
75	1.1655652812764798
76	1.1664698168724388
77	1.1568019997849521
78	1.1708402629899124
79	1.1689133658421345
80	1.1730874025006717
81	1.1674174200603058
82	1.1648962886746135
83	1.1727378135043454
84	1.1653765728174204
85	1.1790468381537007
86	1.1827338665142282
87	1.1789089317460262
88	1.1555203750412375
89	1.1733859043432002
90	1.1570423243118912
91	1.1420584247007992
92	1.1568926445383623
93	1.163238688450621
94	1.1698152000761923
95	1.1693757062483523
96	1.165960529869709
97	1.1622690939586087
98	1.1473970429719573
99	1.1778735785008465
100	1.1682827310795965
101	1.1606477663263832
