Frame	Rad[N0-COM]
1	12.061272549243204
2	11.959975247443719
3	11.89135648554128
4	11.856854377991937
5	11.881706065990956
6	12.122121498733566
7	12.087570806107179
8	11.995825022562595
9	11.929123661473794
10	11.818590206348809
11	11.893120443952213
12	11.885623445868406
13	11.895304175113496
14	11.898411377470685
15	11.879631859337232
16	11.828754969403377
17	11.962034583276765
18	11.888352213316567
19	11.858381744203063
20	11.835324522510719
21	11.810911182552104
22	11.888983815622659
23	11.955505143664505
24	12.056263423751686
25	12.058041959036524
26	12.056347363697821
27	12.047054528222858
28	11.975891528812479
29	11.937281119936284
30	11.933010073617838
31	11.8473944632355
32	12.031415108327698
33	12.059894211208487
34	12.048676413365468
35	12.092367217250953
36	12.104562195772965
37	12.109337711047816
38	12.07787166663678
39	12.152272250479653
40	12.123862348889542
41	12.126813056608041
42	11.922615359855609
43	12.062371904807879
44	12.056243813089702
45	12.139517973831571
46	12.188277340415674
47	12.169240698489748
48	12.098417402425692
49	12.16582007263184
50	12.035670507587602
51	12.063610364874641
52	12.033903563136823
53	11.95061737713401
54	12.014950617634021
55	11.898805335398848
56	11.893353699319558
57	12.030017668324213
58	11.9154837695141
59	11.901126475157536
60	11.77647413008568
61	11.959584393564553
62	12.034118433510276
63	11.99188901962921
64	11.990331416313333
65	11.98596719764915
66	12.10501364312465
67	12.042578178471837
68	12.093484981149777
69	12.002557933614153
70	12.034778709742016
71	11.873463673690036
72	12.068284673968176
73	11.983958055415032
74	11.910142004490922
75	11.780719309992191
76	11.935118421810802
77	11.965146457916902
78	11.952959228404389
79	12.06602786181304
80	11.993362500344203
81	11.995041848488855
82	11.982876259685375
83	11.95740329343551
84	12.055836337566255
85	12.061366806150257
86	11.978182338438844
87	11.981065019680726
88	11.975674075332101
89	12.050936380898966
90	12.116499655121638
91	12.129873660666311
92	12.085679118037854
93	12.029181547872154
94	12.007528484425768
95	12.028416921909807
96	12.060827198385855
97	12.132804929635531
98	12.001486771568993
99	11.969543900770676
100	12.112296931863957
101	11.936808182845516
