Frame	DIST TA from graftin pt [nm]
1	2.516799753655424
2	3.060493587642358
3	2.099349661204632
4	3.3082542223958544
5	1.9685149224732852
6	0.8917314618202071
7	1.9057958967318622
8	2.395131311640343
9	3.0160618362361187
10	1.9824906052740814
11	2.864957591309163
12	2.8556354809393993
13	2.8743769759723596
14	2.038045632462629
15	2.308139727139586
16	2.672587510260423
17	2.1354762934764673
18	2.877146850614339
19	2.2142434373844266
20	1.9605007013515696
21	2.3030108553804087
22	2.7850798911341847
23	1.6271846852769962
24	2.179036713779737
25	2.697060251458984
26	1.8986808578589498
27	2.118462886151183
28	2.6356382528715887
29	2.9051101528169263
30	2.1427809034056677
31	2.6980385467965387
32	2.0926022077786315
33	2.9009463972986493
34	2.045781268855496
35	3.053307387080444
36	2.8528522569526817
37	2.4432406758238105
38	3.128674799335974
39	3.2519689420411138
40	2.2020821964677033
41	1.9950799482727557
42	2.157965013618153
43	2.2917818395301053
44	3.0963496249616247
45	2.724925870551345
46	2.2501402178531027
47	3.3898786113959876
48	3.204062109260679
49	2.4666513738264686
50	1.4340603195123955
51	2.272321280101035
52	3.0755256461294547
53	2.242463377627379
54	1.8897801459429096
55	2.82719383842
56	3.285218561983359
57	1.8943194028463086
58	2.1600488420403843
59	3.0597596310821538
60	2.9601155382856255
61	2.0401534256030827
62	2.716151321263231
63	1.4314293555743471
64	2.589164150840961
65	2.3657028553899155
66	2.7710880534548177
67	1.7795656773493933
68	2.811733451093828
69	2.50794377927417
70	2.739084153508248
71	2.7720797246832585
72	2.6878900647161905
73	2.8553491905544597
74	1.992721004054503
75	2.424650490276902
76	2.542722556630986
77	2.512021695766185
78	2.6833415734863144
79	2.9794947558269045
80	2.722707108743063
81	3.1944764829311225
82	3.0285773888081504
83	2.8411803885005256
84	2.6053101542810575
85	2.425287405649069
86	2.8192018374000813
87	2.1571284152780494
88	2.1921820179902944
89	2.2891729947734447
90	1.8824688576441315
91	2.536371029640578
92	2.4402399472183105
93	2.953457803998559
94	2.789633130001146
95	2.6988429002074192
96	3.1169629449192993
