Frame	DPPC (polar heads)-DEN (All head beads)
1	0.6335078534031413
2	0.6255841121495327
3	0.6449444769140853
4	0.6580174927113702
5	0.6581246359930111
6	0.6506410256410257
7	0.6434402332361516
8	0.6577415599534342
9	0.6749126891734575
10	0.6548104956268221
11	0.6490665110851809
12	0.6388564760793466
13	0.6417299824663939
14	0.6446522501461134
15	0.6485380116959064
16	0.6348511383537653
17	0.6380618797431407
18	0.6320093457943925
19	0.6342673671920607
20	0.648506151142355
21	0.6527208894090111
22	0.6485697606538237
23	0.6523391812865497
24	0.6482236458940012
25	0.6466472303206997
26	0.6092020966802563
27	0.6217948717948718
28	0.632438739789965
29	0.5967930029154519
30	0.6364431486880466
31	0.642148277875073
32	0.6226635514018691
33	0.6315020455873758
34	0.6123103850641773
35	0.6173913043478261
36	0.6298663567693201
37	0.6245654692931634
38	0.6311522872032426
39	0.636495083863505
40	0.6274623406720742
41	0.6321138211382114
42	0.6281976744186046
43	0.6217948717948718
44	0.6532867946480512
45	0.6456027955736751
46	0.6325581395348837
47	0.6333527019174898
48	0.6478587962962963
49	0.6111111111111112
50	0.6548723897911833
51	0.6562318840579711
52	0.6531322505800464
53	0.6397443346891343
54	0.6270348837209302
55	0.6496796738497379
56	0.6642399534071054
57	0.6408984830805134
58	0.6380618797431407
59	0.6487747957992999
60	0.6408984830805134
61	0.6350407450523865
62	0.6244186046511628
63	0.6243447874199185
64	0.6194202898550725
65	0.6393395133256083
66	0.6286871023713129
67	0.644180660104227
68	0.6435185185185185
69	0.6477074869413814
70	0.6205098493626883
71	0.6240557815223707
72	0.6218171296296297
73	0.6404982618771726
74	0.6347270615563299
75	0.6193942923704135
76	0.6394538059267868
77	0.6300058038305282
78	0.6370499419279907
79	0.6243463102847182
80	0.6306620209059234
81	0.6241279069767441
82	0.6412412993039444
83	0.6478463329452853
84	0.6324985439720443
85	0.6242724097788126
86	0.6199186991869918
87	0.6567034242600116
88	0.6584445734184562
89	0.6502605674580196
90	0.629994209612044
91	0.6159629843840371
92	0.6351508120649652
93	0.6268873403019745
94	0.6086829836829837
95	0.6149825783972126
96	0.6215197215777262
97	0.6125943122460824
98	0.6276842716192688
99	0.6329296424452133
100	0.638536866359447
101	0.6023121387283237
