Frame	TA-TA
1	0.18640350877192982
2	0.1784090909090909
3	0.18468468468468469
4	0.1731651376146789
5	0.18018018018018017
6	0.16885964912280702
7	0.15899122807017543
8	0.18694690265486727
9	0.14933628318584072
10	0.17342342342342343
11	0.1875
12	0.20833333333333334
13	0.19084821428571427
14	0.19256756756756757
15	0.21763392857142858
16	0.20382882882882883
17	0.17588495575221239
18	0.20089285714285715
19	0.1943181818181818
20	0.19707207207207209
21	0.20157657657657657
22	0.19196428571428573
23	0.17588495575221239
24	0.1640625
25	0.18092105263157895
26	0.20353982300884957
27	0.20723684210526316
28	0.18973214285714285
29	0.21396396396396397
30	0.1902654867256637
31	0.19642857142857142
32	0.18915929203539822
33	0.18201754385964913
34	0.1875
35	0.18421052631578946
36	0.18369565217391304
37	0.20869565217391303
38	0.1956521739130435
39	0.1853448275862069
40	0.19827586206896552
41	0.20723684210526316
42	0.1953125
43	0.19690265486725664
44	0.1826086956521739
45	0.18043478260869567
46	0.17717391304347826
47	0.1608695652173913
48	0.19782608695652174
49	0.17324561403508773
50	0.16521739130434782
51	0.17105263157894737
52	0.168141592920354
53	0.19977678571428573
54	0.19247787610619468
55	0.18080357142857142
56	0.18526785714285715
57	0.1847345132743363
58	0.19866071428571427
59	0.18468468468468469
60	0.18636363636363637
61	0.17857142857142858
62	0.19419642857142858
63	0.19358407079646017
64	0.19911504424778761
65	0.2002212389380531
66	0.19188596491228072
67	0.19469026548672566
68	0.1836283185840708
69	0.1875
70	0.21238938053097345
71	0.1981981981981982
72	0.18311403508771928
73	0.20907079646017698
74	0.19031531531531531
75	0.1943181818181818
76	0.1875
77	0.2002212389380531
78	0.19800884955752213
79	0.18311403508771928
80	0.19084821428571427
81	0.2002212389380531
82	0.1913716814159292
83	0.2079646017699115
84	0.1858695652173913
85	0.16371681415929204
86	0.2002212389380531
87	0.18969298245614036
88	0.19846491228070176
89	0.18640350877192982
90	0.1939655172413793
91	0.17564655172413793
92	0.17543859649122806
93	0.19419642857142858
94	0.20065789473684212
95	0.18859649122807018
96	0.18969298245614036
97	0.20434782608695654
98	0.19188596491228072
99	0.18973214285714285
100	0.2326086956521739
101	0.21428571428571427
