Fraction of interaction surface(A)       Tot surface area(B)                      A*B                                     
   0.434                                 1490.294                                  646.748                                
   0.433                                 1481.361                                  640.740                                
   0.455                                 1474.601                                  670.939                                
   0.468                                 1481.460                                  693.652                                
   0.464                                 1484.229                                  688.520                                
   0.465                                 1484.117                                  690.599                                
   0.455                                 1482.472                                  674.244                                
   0.481                                 1485.339                                  714.139                                
   0.496                                 1486.331                                  736.677                                
   0.461                                 1480.090                                  681.791                                
   0.443                                 1480.824                                  656.608                                
   0.461                                 1480.799                                  683.379                                
   0.444                                 1479.132                                  656.143                                
   0.444                                 1476.480                                  656.261                                
   0.454                                 1476.738                                  670.145                                
   0.428                                 1478.909                                  633.263                                
   0.448                                 1480.683                                  663.844                                
   0.433                                 1474.541                                  639.082                                
   0.446                                 1477.990                                  658.754                                
   0.451                                 1468.061                                  661.788                                
   0.467                                 1472.704                                  688.095                                
   0.459                                 1479.986                                  678.651                                
   0.459                                 1476.826                                  678.390                                
   0.450                                 1485.578                                  668.813                                
   0.458                                 1483.288                                  678.939                                
   0.414                                 1485.576                                  615.169                                
   0.428                                 1482.825                                  635.126                                
   0.431                                 1483.239                                  638.641                                
   0.411                                 1484.629                                  610.732                                
   0.426                                 1483.045                                  631.267                                
   0.461                                 1482.998                                  683.062                                
   0.445                                 1480.876                                  659.561                                
   0.449                                 1481.708                                  665.080                                
   0.421                                 1482.797                                  623.744                                
   0.416                                 1497.502                                  622.874                                
   0.455                                 1491.112                                  678.841                                
   0.443                                 1496.591                                  663.321                                
   0.427                                 1497.313                                  639.414                                
   0.451                                 1501.564                                  677.831                                
   0.426                                 1495.956                                  637.038                                
   0.448                                 1493.727                                  669.661                                
   0.435                                 1491.807                                  648.329                                
   0.443                                 1487.148                                  659.510                                
   0.460                                 1491.393                                  685.399                                
   0.454                                 1487.046                                  675.103                                
   0.438                                 1493.811                                  654.411                                
   0.430                                 1493.784                                  642.735                                
   0.462                                 1499.563                                  693.374                                
   0.425                                 1496.909                                  636.706                                
   0.463                                 1494.358                                  691.271                                
   0.470                                 1496.180                                  703.855                                
   0.474                                 1491.341                                  707.176                                
   0.441                                 1487.973                                  655.798                                
   0.439                                 1484.284                                  651.963                                
   0.462                                 1484.731                                  685.726                                
   0.484                                 1485.165                                  718.363                                
   0.447                                 1481.447                                  661.638                                
   0.456                                 1480.316                                  674.913                                
   0.474                                 1481.817                                  702.437                                
   0.451                                 1480.645                                  668.191                                
   0.433                                 1485.083                                  642.701                                
   0.442                                 1488.258                                  657.170                                
   0.437                                 1482.707                                  647.227                                
   0.443                                 1491.140                                  660.424                                
   0.445                                 1490.648                                  663.710                                
   0.432                                 1496.547                                  646.570                                
   0.439                                 1493.040                                  655.744                                
   0.459                                 1495.060                                  686.534                                
   0.440                                 1491.786                                  656.282                                
   0.426                                 1491.684                                  634.787                                
   0.412                                 1484.881                                  612.157                                
   0.446                                 1492.971                                  665.271                                
   0.467                                 1493.787                                  697.130                                
   0.441                                 1489.810                                  657.091                                
   0.421                                 1482.607                                  623.438                                
   0.464                                 1485.933                                  689.435                                
   0.446                                 1487.729                                  663.995                                
   0.451                                 1485.212                                  670.157                                
   0.430                                 1482.822                                  638.019                                
   0.434                                 1487.418                                  644.807                                
   0.443                                 1486.267                                  658.883                                
   0.443                                 1491.251                                  660.424                                
   0.470                                 1484.543                                  697.338                                
   0.433                                 1482.111                                  642.219                                
   0.412                                 1485.211                                  611.634                                
   0.426                                 1489.693                                  634.114                                
   0.463                                 1490.466                                  690.303                                
   0.483                                 1490.490                                  720.158                                
   0.470                                 1494.259                                  703.003                                
   0.445                                 1489.367                                  663.187                                
   0.416                                 1493.230                                  620.524                                
   0.451                                 1486.366                                  670.330                                
   0.443                                 1484.643                                  657.399                                
   0.432                                 1477.585                                  638.909                                
   0.425                                 1487.103                                  632.580                                
   0.432                                 1490.105                                  644.358                                
   0.422                                 1487.612                                  627.249                                
   0.438                                 1487.884                                  651.975                                
   0.440                                 1500.074                                  660.500                                
   0.458                                 1501.274                                  687.507                                
   0.427                                 1497.077                                  639.070                                
