Frame	ROG of Dendrons [ALL BEADS]
1	1.2932832267725949
2	1.2868815323457916
3	1.2922353664664465
4	1.326613354266387
5	1.3096929950362033
6	1.303691481491096
7	1.2952393138229688
8	1.2929335991424196
9	1.2866653208582501
10	1.2944188515848176
11	1.2955998360994523
12	1.2870706576775592
13	1.2886080822850765
14	1.293487802606678
15	1.302697545172416
16	1.274051328337556
17	1.2809536392445053
18	1.2871567755682454
19	1.2798549152442837
20	1.301571632135735
21	1.2918283427700987
22	1.2936826433257687
23	1.3006467779807616
24	1.2884098013009155
25	1.3044028488302848
26	1.3064951666772646
27	1.2972008404763504
28	1.2881420500719842
29	1.3008128565363097
30	1.3099510110208916
31	1.2941810889666858
32	1.293424865808814
33	1.2787502875273424
34	1.2820359978906541
35	1.2924229870891173
36	1.2859322586343724
37	1.304043412716773
38	1.3095884080635245
39	1.2899769679353403
40	1.2906145588623428
41	1.3059217685044722
42	1.2991591861585052
43	1.2952448020865734
44	1.3010766286299074
45	1.299093057237615
46	1.3073772913603872
47	1.297472227146413
48	1.3009548874570105
49	1.2866287295122496
50	1.290320979758712
51	1.2851608027287926
52	1.2952639323387167
53	1.3035917749372874
54	1.2858071034913374
55	1.290451026569056
56	1.27829480298938
57	1.3082885261475887
58	1.3040250957415203
59	1.291021457819157
60	1.283405985802828
61	1.2904655422185223
62	1.2976082087830831
63	1.2881859957673718
64	1.2864811151147466
65	1.2941579759469293
66	1.2970063519679385
67	1.3123150114411493
68	1.287223678330448
69	1.2833162895491657
70	1.2849539936433185
71	1.2904541226964183
72	1.2859233027058787
73	1.3079149430382735
74	1.2893214402519662
75	1.2906634517124171
76	1.2916240374705859
77	1.2800493558001866
78	1.2963962545371615
79	1.2922077862867938
80	1.2959752765209032
81	1.2924511509067576
82	1.2893512851593505
83	1.2963656947018616
84	1.288677151283509
85	1.3064772018435797
86	1.3100955993942565
87	1.3028570172492202
88	1.2820144515093044
89	1.2967951729640124
90	1.28160756196207
91	1.2680740056572848
92	1.2813111907565182
93	1.28725150231341
94	1.298076964528213
95	1.2950862362198532
96	1.291341357106527
97	1.290034134123005
98	1.2701977919196399
99	1.303925381104943
100	1.2949620623980518
101	1.2844768956026995
