Mean Radius	Outer_Ro	Outer_No	Inside_Ro	Inside_No	Expelled
   9.395	   10.893	     1719	   6.987	    1069	      90
   9.372	   10.860	     1712	   6.990	    1069	      97
   9.353	   10.835	     1711	   6.982	    1069	      98
   9.376	   10.861	     1715	   6.994	    1069	      94
   9.383	   10.871	     1717	   6.994	    1069	      92
   9.381	   10.870	     1716	   6.989	    1069	      93
   9.374	   10.864	     1715	   6.983	    1069	      94
   9.380	   10.875	     1718	   6.977	    1069	      91
   9.385	   10.878	     1718	   6.984	    1069	      91
   9.364	   10.855	     1715	   6.972	    1069	      94
   9.370	   10.858	     1714	   6.983	    1069	      95
   9.372	   10.858	     1714	   6.988	    1069	      95
   9.367	   10.852	     1711	   6.989	    1069	      98
   9.358	   10.842	     1711	   6.982	    1069	      98
   9.360	   10.843	     1710	   6.986	    1069	      99
   9.365	   10.851	     1713	   6.984	    1069	      96
   9.370	   10.858	     1713	   6.987	    1069	      96
   9.352	   10.835	     1712	   6.978	    1069	      97
   9.365	   10.848	     1713	   6.988	    1069	      96
   9.337	   10.811	     1707	   6.982	    1069	     102
   9.346	   10.828	     1709	   6.977	    1069	     100
   9.365	   10.855	     1713	   6.978	    1069	      96
   9.357	   10.844	     1710	   6.978	    1069	      99
   9.383	   10.876	     1717	   6.985	    1069	      92
   9.374	   10.867	     1715	   6.978	    1069	      94
   9.384	   10.876	     1717	   6.989	    1069	      92
   9.375	   10.866	     1716	   6.981	    1069	      93
   9.377	   10.867	     1714	   6.989	    1069	      95
   9.382	   10.872	     1715	   6.992	    1069	      94
   9.373	   10.866	     1715	   6.978	    1069	      94
   9.373	   10.866	     1713	   6.981	    1069	      96
   9.367	   10.858	     1712	   6.979	    1069	      97
   9.371	   10.861	     1711	   6.986	    1069	      98
   9.373	   10.865	     1714	   6.980	    1069	      95
   9.414	   10.919	     1725	   6.985	    1069	      84
   9.392	   10.896	     1721	   6.971	    1069	      88
   9.405	   10.916	     1726	   6.965	    1069	      83
   9.411	   10.918	     1727	   6.975	    1069	      82
   9.424	   10.934	     1729	   6.982	    1069	      80
   9.411	   10.914	     1726	   6.984	    1069	      83
   9.401	   10.905	     1722	   6.978	    1069	      87
   9.399	   10.898	     1720	   6.986	    1069	      89
   9.385	   10.881	     1716	   6.982	    1069	      93
   9.397	   10.897	     1719	   6.986	    1069	      90
   9.385	   10.881	     1717	   6.983	    1069	      92
   9.406	   10.906	     1720	   6.994	    1069	      89
   9.405	   10.906	     1721	   6.988	    1069	      88
   9.422	   10.927	     1728	   6.991	    1069	      81
   9.419	   10.917	     1728	   6.997	    1069	      81
   9.409	   10.908	     1724	   6.991	    1069	      85
   9.413	   10.914	     1725	   6.990	    1069	      84
   9.398	   10.897	     1724	   6.981	    1069	      85
   9.392	   10.884	     1721	   6.990	    1069	      88
   9.385	   10.871	     1720	   6.993	    1069	      89
   9.383	   10.872	     1717	   6.990	    1069	      92
   9.380	   10.874	     1717	   6.980	    1069	      92
   9.373	   10.860	     1714	   6.989	    1069	      95
   9.368	   10.856	     1713	   6.984	    1069	      96
   9.376	   10.862	     1714	   6.995	    1069	      95
   9.370	   10.858	     1714	   6.985	    1069	      95
   9.383	   10.874	     1718	   6.988	    1069	      91
   9.395	   10.885	     1720	   6.997	    1069	      89
   9.380	   10.865	     1717	   6.993	    1069	      92
   9.395	   10.896	     1725	   6.973	    1069	      84
   9.396	   10.894	     1726	   6.977	    1069	      83
   9.418	   10.916	     1729	   6.995	    1069	      80
   9.403	   10.903	     1727	   6.979	    1069	      82
   9.413	   10.910	     1728	   6.993	    1069	      81
   9.402	   10.898	     1723	   6.991	    1069	      86
   9.400	   10.898	     1726	   6.982	    1069	      83
   9.380	   10.873	     1721	   6.976	    1069	      88
   9.405	   10.903	     1728	   6.985	    1069	      81
   9.405	   10.906	     1726	   6.981	    1069	      83
   9.397	   10.891	     1722	   6.989	    1069	      87
   9.375	   10.865	     1717	   6.982	    1069	      92
   9.385	   10.877	     1721	   6.984	    1069	      88
   9.389	   10.883	     1723	   6.981	    1069	      86
   9.384	   10.874	     1722	   6.984	    1069	      87
   9.380	   10.866	     1721	   6.988	    1069	      88
   9.395	   10.882	     1722	   7.000	    1069	      87
   9.388	   10.878	     1720	   6.991	    1069	      89
   9.395	   10.896	     1724	   6.974	    1069	      85
   9.383	   10.872	     1718	   6.990	    1069	      91
   9.376	   10.863	     1717	   6.989	    1069	      92
   9.383	   10.874	     1718	   6.987	    1069	      91
   9.394	   10.891	     1722	   6.983	    1069	      87
   9.394	   10.893	     1723	   6.978	    1069	      86
   9.400	   10.894	     1723	   6.994	    1069	      86
   9.407	   10.907	     1727	   6.984	    1069	      82
   9.394	   10.889	     1727	   6.978	    1069	      82
   9.407	   10.904	     1729	   6.987	    1069	      80
   9.392	   10.878	     1724	   6.994	    1069	      85
   9.383	   10.872	     1722	   6.985	    1069	      87
   9.361	   10.846	     1716	   6.978	    1069	      93
   9.388	   10.881	     1722	   6.984	    1069	      87
   9.398	   10.892	     1724	   6.989	    1069	      85
   9.387	   10.883	     1723	   6.975	    1069	      86
   9.390	   10.884	     1723	   6.981	    1069	      86
   9.424	   10.929	     1734	   6.984	    1069	      75
   9.431	   10.933	     1736	   6.993	    1069	      73
   9.410	   10.918	     1730	   6.971	    1069	      79
