Fraction of interaction surface(A)       Tot surface area(B)                      A*B                                     
   0.634                                 1490.294                                  944.113                                
   0.626                                 1481.361                                  926.716                                
   0.645                                 1474.601                                  951.036                                
   0.658                                 1481.460                                  974.827                                
   0.658                                 1484.229                                  976.808                                
   0.651                                 1484.117                                  965.627                                
   0.643                                 1482.472                                  953.882                                
   0.658                                 1485.339                                  976.969                                
   0.675                                 1486.331                                 1003.144                                
   0.655                                 1480.090                                  969.178                                
   0.649                                 1480.824                                  961.153                                
   0.639                                 1480.799                                  946.018                                
   0.642                                 1479.132                                  949.203                                
   0.645                                 1476.480                                  951.816                                
   0.649                                 1476.738                                  957.721                                
   0.635                                 1478.909                                  938.887                                
   0.638                                 1480.683                                  944.767                                
   0.632                                 1474.541                                  931.923                                
   0.634                                 1477.990                                  937.441                                
   0.649                                 1468.061                                  952.047                                
   0.653                                 1472.704                                  961.265                                
   0.649                                 1479.986                                  959.874                                
   0.652                                 1476.826                                  963.392                                
   0.648                                 1485.578                                  962.987                                
   0.647                                 1483.288                                  959.164                                
   0.609                                 1485.576                                  905.016                                
   0.622                                 1482.825                                  922.013                                
   0.632                                 1483.239                                  938.058                                
   0.597                                 1484.629                                  886.016                                
   0.636                                 1483.045                                  943.874                                
   0.642                                 1482.998                                  952.305                                
   0.623                                 1480.876                                  922.088                                
   0.632                                 1481.708                                  935.702                                
   0.612                                 1482.797                                  907.932                                
   0.617                                 1497.502                                  924.545                                
   0.630                                 1491.112                                  939.201                                
   0.625                                 1496.591                                  934.719                                
   0.631                                 1497.313                                  945.033                                
   0.636                                 1501.564                                  955.738                                
   0.627                                 1495.956                                  938.656                                
   0.632                                 1493.727                                  944.205                                
   0.628                                 1491.807                                  937.150                                
   0.622                                 1487.148                                  924.701                                
   0.653                                 1491.393                                  974.307                                
   0.646                                 1487.046                                  960.041                                
   0.633                                 1493.811                                  944.922                                
   0.633                                 1493.784                                  946.092                                
   0.648                                 1499.563                                  971.505                                
   0.611                                 1496.909                                  914.778                                
   0.655                                 1494.358                                  978.614                                
   0.656                                 1496.180                                  981.841                                
   0.653                                 1491.341                                  974.043                                
   0.640                                 1487.973                                  951.923                                
   0.627                                 1484.284                                  930.698                                
   0.650                                 1484.731                                  964.599                                
   0.664                                 1485.165                                  986.506                                
   0.641                                 1481.447                                  949.457                                
   0.638                                 1480.316                                  944.533                                
   0.649                                 1481.817                                  961.366                                
   0.641                                 1480.645                                  948.943                                
   0.635                                 1485.083                                  943.089                                
   0.624                                 1488.258                                  929.296                                
   0.624                                 1482.707                                  925.720                                
   0.619                                 1491.140                                  923.642                                
   0.639                                 1490.648                                  953.030                                
   0.629                                 1496.547                                  940.860                                
   0.644                                 1493.040                                  961.787                                
   0.644                                 1495.060                                  962.099                                
   0.648                                 1491.786                                  966.241                                
   0.621                                 1491.684                                  925.604                                
   0.624                                 1484.881                                  926.648                                
   0.622                                 1492.971                                  928.355                                
   0.640                                 1493.787                                  956.768                                
   0.635                                 1489.810                                  945.623                                
   0.619                                 1482.607                                  918.319                                
   0.639                                 1485.933                                  950.185                                
   0.630                                 1487.729                                  937.278                                
   0.637                                 1485.212                                  946.154                                
   0.624                                 1482.822                                  925.795                                
   0.631                                 1487.418                                  938.058                                
   0.624                                 1486.267                                  927.621                                
   0.641                                 1491.251                                  956.252                                
   0.648                                 1484.543                                  961.756                                
   0.632                                 1482.111                                  937.433                                
   0.624                                 1485.211                                  927.176                                
   0.620                                 1489.693                                  923.489                                
   0.657                                 1490.466                                  978.794                                
   0.658                                 1490.490                                  981.405                                
   0.650                                 1494.259                                  971.658                                
   0.630                                 1489.367                                  938.293                                
   0.616                                 1493.230                                  919.775                                
   0.635                                 1486.366                                  944.067                                
   0.627                                 1484.643                                  930.704                                
   0.609                                 1477.585                                  899.381                                
   0.615                                 1487.103                                  914.542                                
   0.622                                 1490.105                                  926.130                                
   0.613                                 1487.612                                  911.303                                
   0.628                                 1487.884                                  933.922                                
   0.633                                 1500.074                                  949.441                                
   0.639                                 1501.274                                  958.619                                
   0.602                                 1497.077                                  901.708                                
