Frame	Thickness of Dendron Layer
1	1.5672040425024587
2	1.5014712533305374
3	1.4549666292019445
4	1.3619698862486622
5	1.3954471076185495
6	1.6198959511152093
7	1.6197377324082858
8	1.4868741122355118
9	1.4231576922850877
10	1.3719827493506944
11	1.4456858824084904
12	1.4221576574865704
13	1.4574140247383447
14	1.462915072260234
15	1.4260060392288754
16	1.399818593075592
17	1.4899101563528419
18	1.444495700945959
19	1.4087905161544043
20	1.4296365050192037
21	1.3693861248048247
22	1.410503499822477
23	1.4903517383511318
24	1.56862150311402
25	1.567511208543383
26	1.563303336481777
27	1.565818473006436
28	1.4781189504835446
29	1.4659240844210633
30	1.4772294661213365
31	1.34733227872346
32	1.5358713742259997
33	1.5780576107863933
34	1.5740983733644356
35	1.56868603685842
36	1.5502595450606886
37	1.5716459142165178
38	1.5386209751150695
39	1.588711677713663
40	1.6067978646420205
41	1.5888052957095837
42	1.4265577060328898
43	1.5805609310767448
44	1.5597381238847134
45	1.6322881580707698
46	1.6611717313700431
47	1.6715749516630964
48	1.57053425714337
49	1.6267233032519872
50	1.525476614811744
51	1.5361067417245327
52	1.4856445839257901
53	1.474225331751505
54	1.5442435966882755
55	1.4431569013217462
56	1.4073634723012436
57	1.5350122508298387
58	1.4520269388307039
59	1.4389385124362875
60	1.3442845254585585
61	1.4955584669563944
62	1.5628256736732826
63	1.5257047506180648
64	1.4891007381179069
65	1.4822396124974855
66	1.5598663015270127
67	1.5297180920786229
68	1.558265224986517
69	1.5031882239934298
70	1.5107605329887832
71	1.429662350338516
72	1.570506827546632
73	1.4288394999819438
74	1.4042918998523728
75	1.347868400377065
76	1.4584499927432137
77	1.4665976480678484
78	1.4769063377844684
79	1.5875200698361223
80	1.4851477447955048
81	1.5184066950381219
82	1.4799175737627106
83	1.4684096667775641
84	1.613023763686586
85	1.5755360239416962
86	1.4835912396906856
87	1.4563232232663932
88	1.4519913572076764
89	1.4970775076662939
90	1.5965100518677797
91	1.637486032916902
92	1.5872301590887687
93	1.532938910044006
94	1.5508188898723105
95	1.5391068182978298
96	1.5376891938163073
97	1.6512359231832807
98	1.5057212507685787
99	1.3994840627906306
100	1.540166184461322
101	1.4121954900063223
